Div,Ticker
2.4,PEG
2.4,MC
2.4,AJG
2.4,MNR
2.4,PATK
2.4,SBLK
2.4,NSP
2.4,EIC
2.4,FSDK
2.4,JFWV
2.394,KRNNF
2.393357,IBDRY
2.3925,SAPGF
2.391312,SAP
2.3892,WHTAF
2.3883076,ZIONO
2.3784,SAFRF
2.37728,FITBI
2.375,EP.PC
2.375,EP-C
2.375,FTAIM
2.375,GLP-B
2.375,MITN
2.375,MITP
2.375,TEN-F
2.3702,CKHGF
2.361612,GRP.UN
2.36,V
2.36,CNS
2.36,BFS
2.36,DG
2.36,JCYGY
2.36,MBINO
2.36,TTP
2.3577,CTTAF
2.3577,MKGAF
2.356,FXWZF
2.3556,STBBF
2.3544556,TRP
2.3472992,WNGRF
2.34372,SQFTP
2.3413,CYJBF
2.34,CCD
2.327355,GGDVY
2.326907,TSM
2.326,VRLAF
2.321,UNLYF
2.32,GATX
2.32,RSG
2.32,FMC
2.32,PB
2.32,NNN
2.32,QSR
2.32,TXO
2.32,BWLP
2.32,CHBH
2.32,RSTRF
2.3125,TEN-E
2.312,ATLCZ
2.309528,NLY-G
2.3048,BESIY
2.3041,BESVF
2.3,FEDU
2.3,MTFC
2.29004,SNV-D
2.288278,BKHYY
2.2865,LPRRF
2.2832,VCISF
2.281251908,RWTN
2.28,LTC
2.28,WSM
2.28,BOKF
2.28,K
2.28,HLI
2.28,ECL
2.28,STE
2.28,NSA
2.28,INDB
2.28,UTG
2.276,LGRVF
2.266059,FANDY
2.2616,GPDNF
2.2538,CODGF
2.2506,KYCCF
2.25,CET
2.25,CIMN
2.25,CNLHO
2.25,CNLHP
2.25,DLNG-A
2.25,EPR-E
2.25,IIPR-A
2.25,JMHLY
2.25,LNC-D
2.25,MFAO
2.25,MNESP
2.25,RWTO
2.25,SEAL-A
2.25,SWKHL
2.249704,CGHLY
2.2406,AZRGF
2.24,WASH
2.24,C
2.24,APLO
2.24,PBNC
2.2361112,POWWP
2.23,ALL-B
2.228632,KBCSY
2.2263,BBAGF
2.2248,CZAVF
2.2188,MFAN
2.218752,DSX-B
2.21875,LFMDP
2.2138,OCLCF
2.212,GECCZ
2.2038,LZAGF
2.2,EWBC
2.2,BHRB
2.2,ABT
2.2,COR
2.2,JKHY
2.2,OCSL
2.2,CDZIP
2.2,CNLTP
2.2,REDW
2.1997,CLHLF
2.199596,AVSFY
2.195436,SCE-H
2.1937,TDAAF
2.191,HRIBF
2.19,XEL
2.1876,CCIA
2.1875,CMRE-D
2.1875,GMLPF
2.1875,GSL-B
2.1875,HMLPF
2.1875,IMPPP
2.1852,GOF
2.1822,DNSKF
2.1804,GASNF
2.18,MET
2.1739,CMOPF
2.172,REMYF
2.1703,VLNVF
2.17,REFI
2.16465,APEMY
2.163,ICHMF
2.162232,EFC-E
2.16,KRC
2.16,FAF
2.16,SSB
2.16,GEF
2.16,TRI
2.16,NTR
2.16,NUE
2.16,ACV
2.16,THQ
2.1584,ELIAF
2.15625,EFC-C
2.15625,GLOP-A
2.15624,XOMAP
2.1541,MTUAF
2.15,HVT.A
2.149,GECCI
2.14692573,FNLIF
2.1445,SISAF
2.144257,ESLOY
2.1434,SDCVF
2.141,SBOEF
2.1346,WAWIF
2.134272,VLYPO
2.131083,AXAHY
2.1252,SEAL-B
2.125,CMRE-C
2.125,NREF-A
2.125,PMTU
2.125,SAZ
2.125,TRTN-A
2.1228,BMEZ
2.122,APMSF
2.12,AVGO
2.12,RMD
2.12,LAD
2.12,RHI
2.1178,KBCSF
2.1169,STK
2.1145,AXAHF
2.1124,AHT-D
2.11,EMR
2.102712,E
2.1,EPD
2.1,USAC
2.1,VTS
2.1,CAPL
2.1,WLK
2.1,CBHC
2.09924,SNV-E
2.0986,KUMBF
2.097115,EDPFY
2.09376,XOMAO
2.09,TSLX
2.09,CNPWM
2.0832,SVYSF
2.081887,TLPFY
2.08,KTB
2.08,NTAP
2.08,TFC
2.08,HIG
2.08,SON
2.0796,ETO
2.075356,EMRAF
2.072974,FOVSY
2.069412,ISNPY
2.0663,DTGHF
2.06252,FTAIN
2.06252,FTIIP
2.06252,MITT-A
2.0625,DRH-A
2.0625,FATBP
2.0625,SOHON
2.0625,SYF-B
2.0624,BHR-D
2.0624,MBINM
2.062,NMFCZ
2.06,CMS
2.06,NEE
2.06,NFG
2.06,DOV
2.06,CNLPM
2.0578,RBGPF
2.0564,MLSRF
2.0518,SHMDF
2.051,KTN
2.050517,SYYNY
2.05,CGBDL
2.05,CHMI-A
2.04,BAH
2.04,RPM
2.04,TRIN
2.04,SYY
2.04,CUBE
2.04,DIN
2.04,MSA
2.04,NXRT
2.04,CNPWP
2.0369079,SNY
2.031252,PMT-A
2.031251908,SAY
2.03124,TWO-A
2.0291,BOUYF
2.027599,CRBJY
2.024743,CRCBY
2.0224,CAH
2.01,NPFD
2.0047,RNSDF
2.0046,ODJBF
2.004,SIETY
2.003792,LIFZF
2.0004,LTSAP
2.000004,ECCF
2.000004,EICC
2,HIW
2,ESLT
2,BLX
2,STC
2,LEN
2,POR
2,TSN
2,META
2,USB
2,BABA
2,LNG
2,CASY
2,AFL
2,CF
2,CL
2,TNL
2,KSS
2,FNF
2,LAZ
2,HES
2,ADM
2,THO
2,CHE
2,NE
2,DINO
2,SIMO
2,IEP
2,AIRTP
2,BBBK
2,BMYMP
2,BOH-B
2,CHSCP
2,CIM-A
2,FGFPP
2,FLEW
2,FTAIO
2,GAINL
2,GDL-C
2,GLNV
2,HCBC
2,HQL
2,IFN
2,JXN-A
2,KTH
2,LEN.B
2,LINS
2,MBNKP
2,MDRRP
2,MITT-B
2,MSDL
2,NATH
2,NIE
2,NREF
2,NYMTN
2,PMT-B
2,SAJ
2,SB-C
2,SB-D
2,SCCG
2,SNLC
2,SOHOB
2,SPNT-B
2,TRTN-B
2,UNPA
2,WBHC
1.998241,GLAPY
1.9941,DPSTF
1.992,JPI
1.9918,NPEHF
1.9918,NXGPF
1.9898,SOTDF
1.988,FER
1.988,FGN
1.9875,ATCO-D
1.987085,DHLGY
1.98,GLAD
1.98,FAX
1.9786,HENOF
1.9752,EVT
1.9751664,PBA
1.972522,LNNGY
1.969,TRINZ
1.969,WHFCL
1.968752,ATCO-H
1.968752,CHSCO
1.96875,ACR-D
1.96875,CODI-B
1.96875,CODI-C
1.96875,LFT-A
1.96875,NYMTM
1.96875,SOHOO
1.96,CRAI
1.96,CZFS
1.96,TRNO
1.96,HLNE
1.96,NWN
1.96,ETD
1.96,BORTP
1.9575,BFLBF
1.9572,HELKF
1.9538,SZCRF
1.95,CNLHN
1.95,RLJ-A
1.9445593,IMBBY
1.943986,JMPLY
1.94,KO
1.94,CGBD
1.94,KWR
1.939,BEKSF
1.9387,DRWKF
1.938,BANC-F
1.938,CSWCZ
1.938,GLADZ
1.938,SCCC
1.9376,IVR-B
1.9376,MSBIP
1.93752,AGNCL
1.937508,EICB
1.9375,AFSIM
1.9375,ATH-E
1.9375,BW.A
1.9375,BW-A
1.9375,CIM-C
1.9375,SACH-A
1.93,HLFN
1.927,CEHCF
1.92,ALLE
1.92,BANR
1.92,LKFN
1.92,ARCC
1.92,MUSA
1.92,LNT
1.92,HTGC
1.92,FFMR
1.92,STWD
1.9197,TGNOF
1.9169,LFDJF
1.916,DOX
1.913,EADSF
1.911314,VEMLY
1.91,ELS
1.9064,FRTAF
1.906252,AFSIC
1.906252,ATLCP
1.906252,CMRE-B
1.906252,HOVNP
1.90624,TWO-B
1.906,APOS
1.9042,YMTKF
1.902,OERCF
1.9,MGRC
1.9,WMB
1.9,MGA
1.9,AVA
1.9,BANX
1.9,CNLTL
1.9,GLU-A
1.8962,KNYJF
1.8892896,EIFZF
1.8881,BNTGF
1.8856,WLKP
1.8832,SIUAF
1.8831,SWPRF
1.88,GTY
1.88,CTBI
1.88,GPI
1.88,MDLZ
1.88,BK
1.88,SPB
1.88,FIBK
1.88,BXMT
1.8752,FRMEP
1.875,AFSI.PD
1.875,AFSIP
1.875,AHT-H
1.875,AHT-I
1.875,CHSCL
1.875,DDT
1.875,FBRT-E
1.875,GMRE-A
1.875,GNL-D
1.875,IVR-C
1.875,MFA-B
1.875,MNSBP
1.875,MTB-J
1.875,SCE-M
1.874,DGWPF
1.874,HSSKF
1.87,OTTR
1.8684,TBCCF
1.867413,ADERY
1.8666,UL
1.86610286,CPXWF
1.8648,THLEF
1.863726,CCOZY
1.862,AWR
1.8614,TSUSF
1.86,CHCT
1.86,BCSO
1.86,ECC
1.86,TYBT
1.86,UTF
1.85,APO
1.85,IP
1.847,WOLTF
1.844048,SITIY
1.84375,ALL-J
1.84375,CFG-H
1.84375,GNL-E
1.84375,HTIA
1.84375,MDV-A
1.84375,RILYL
1.84375,TRTN-C
1.8436,AHT-F
1.8436,AHT-G
1.842,JLS
1.84,BANF
1.84,CCAP
1.84,CBU
1.84,STLD
1.84,VMC
1.84,OSK
1.84,PZZA
1.84,CYVF
1.84,ITIC
1.83264,GEGGL
1.8324,BP
1.8279,CFIGY
1.8276,EOS
1.82584,NNGRY
1.8222,BLSFY
1.8221,SKFOF
1.820832,MS-E
1.82,MCHP
1.81698,KHNGY
1.814823,PKX
1.81252,TWO-C
1.8125,AFSIB
1.8125,CDR-B
1.8125,CODI-A
1.8125,GNL-A
1.812,ATHS
1.812,BEPJ
1.812,BIPJ
1.800523,SZLMY
1.8,BFC
1.8,SLVM
1.8,IDCC
1.8,RJF
1.8,LNC
1.8,MKC
1.8,RGLD
1.8,WTFC
1.8,PCH
1.8,ICE
1.8,ATR
1.8,NJR
1.8,GSBD
1.8,VOYA
1.8,THFF
1.8,GSL
1.8,RMR
1.8,OLP
1.8,MGEE
1.8,VTR
1.8,TFII
1.8,ECO
1.8,AIO
1.8,DX
1.8,FIDS
1.8,FIZN
1.8,LOGN
1.8,LRBI
1.8,MKC.V
1.8,NCDL
1.8,TTBKF
1.8,TWO
1.796666,BVVBY
1.794124,DATWY
1.79292,LGI
1.7928,PAXS
1.7875,DBRG-I
1.785,ASHTF
1.782,WDI
1.78125,CCNEP
1.78125,DBRG-H
1.78125,DBRG-J
1.78125,HTIBP
1.78125,OXLCN
1.781,ATCOL
1.781,RZC
1.781,SCCF
1.781,TFINP
1.78,DELL
1.7764,TYIDF
1.7756,PHTCF
1.775,CHSCN
1.7715,IPSOF
1.768028,BMRRY
1.7614,ORINF
1.7604744,FTS
1.76,VCTR
1.76,AXS
1.76,TAP
1.76,NTB
1.76,WABC
1.76,AGR
1.76,USPH
1.76,JACK
1.76,CCFN
1.76,CFFI
1.76,KEFI
1.76,TAP.A
1.756944,MS-F
1.7556,KNBHF
1.7555,SHBBF
1.755096,CRPJY
1.75,KRT
1.75,GBDC
1.75,ARGO-A
1.75,DMRR
1.75,EFC-D
1.75,ESGRO
1.75,ESGRP
1.75,FOSLL
1.75,GPMT-A
1.75,HTLFP
1.75,KTBA
1.75,LBRDP
1.75,NYMTZ
1.75,OCFCP
1.75,ONBPO
1.75,ONBPP
1.75,PRIF-D
1.75,PRIF-K
1.75,RITM-D
1.75,SBBA
1.75,SRG-A
1.75,TRINL
1.74996,ARR-C
1.7461616,MXGBF
1.743315,XYIGY
1.7392,CRWKF
1.738235,DTRUY
1.738,TPGXL
1.7375,AFSIN
1.7375,SCE-N
1.7342,DKILF
1.731,DISPF
1.73,VICI
1.72821231,YZCAY
1.728,ZTS
1.728,KLPEF
1.7278,AMADF
1.725,DX-C
1.72,NLCP
1.72,ZION
1.72,WTS
1.72,ATHM
1.72,OBDC
1.72,JBHT
1.72,CBT
1.72,RWAY
